id,,,,,,,,,,,,,,,,,,,
1982759793764470784,C-R-01_S_02_01,,,,,,,,,,,,,,,,,,
1982756576796217344,H-C-01_S_04_01,,,,,,,,,,,,,,,,,,
1982762036605620224,H-C-03_S_02_01,,,,,,,,,,,,,,,,,,
1988154073345560576,H-C-09_S_03_01,,,,,,,,,,,,,,,,,,
1982763484043153408,H-C-03_S_08_01,,,,,,,,,,,,,,,,,,
1990302202954125312,H-K-07_S_03_05_LJ,,,,,,,,,,,,,,,,,,
1988153985672024064,M-I-02_S_03_01,,,,,,,,,,,,,,,,,,
1990302610443341824,H-D-09_S_05_04_LJ,,,,,,,,,,,,,,,,,,
1982761391077068800,C-R-01_S_04_01,,,,,,,,,,,,,,,,,,
1988169834222981120,I-R-03_S_05_01,,,,,,,,,,,,,,,,,,
1990302423217999872,H-K-07_S_04_04_LJ,,,,,,,,,,,,,,,,,,
1990302486430355456,H-K-09_S_03_03_LJ,,,,,,,,,,,,,,,,,,
1982751757930991616,H-C-03_S_10_01,,,,,,,,,,,,,,,,,,
1982759493833986048,C-R-01_S_01_01,,,,,,,,,,,,,,,,,,
1988510354153541632,H-K-01_S_05_05,,,,,,,,,,,,,,,,,,
1982757206180892672,H-C-03_S_05_01,,,,,,,,,,,,,,,,,,
1990302218611462144,H-K-08_S_03_02,,,,,,,,,,,,,,,,,,
1986319703395667968,H-C-03_S_02_02,,,,,,,,,,,,,,,,,,
1990302372341092352,H-C-09_S_03_03_LJ,,,,,,,,,,,,,,,,,,
1982755748349874176,H-C-01_S_02_01,,,,,,,,,,,,,,,,,,
1982754028764925952,H-C-03_S_11_01,,,,,,,,,,,,,,,,,,
1981934784712151040,H-K-04_short_11,,,,,,,,,,,,,,,,,,
1986319696009498624,H-C-03_S_16_02,,,,,,,,,,,,,,,,,,
1988154112600051712,C-R-07_S_01_01,,,,,,,,,,,,,,,,,,
1988510340798877696,H-C-03_S_12_03,,,,,,,,,,,,,,,,,,
1982759094167146496,C-R-01_S_05_01,,,,,,,,,,,,,,,,,,
1990302475709714432,H-K-09_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1988510374990843904,H-K-01_S_01_03,,,,,,,,,,,,,,,,,,
1986082196611534848,H-D-07_S_03_01,,,,,,,,,,,,,,,,,,
1982750379460399104,H-C-03_S_17_01,,,,,,,,,,,,,,,,,,
1988154086532452352,H-C-06_S_02_01,,,,,,,,,,,,,,,,,,
1986087918413942784,C-F-04_S_04_01,,,,,,,,,,,,,,,,,,
1982764686805962752,H-K-01_S_01_01,,,,,,,,,,,,,,,,,,
1982764365723602944,H-K-05_S_03_01,,,,,,,,,,,,,,,,,,
1982758680491331584,H-K-01_S_05_01,,,,,,,,,,,,,,,,,,
1990302145014009856,H-K-01_S_02_05_LJ,,,,,,,,,,,,,,,,,,
1990302156535762944,H-K-07_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1988153998963773440,L-S-01_S_02_01,,,,,,,,,,,,,,,,,,
1990302414896500736,H-K-07_S_04_02_LJ,,,,,,,,,,,,,,,,,,
1986089341809725440,C-O-01_S_04_01,,,,,,,,,,,,,,,,,,
1982765888725716992,H-K-01_S_03_01,,,,,,,,,,,,,,,,,,
1981935052715593728,H-K-05_short_12,,,,,,,,,,,,,,,,,,
1986094332540751872,H-K-03_S_01_08,,,,,,,,,,,,,,,,,,
1986638773252919296,H-K-05_S_04_01,,,,,,,,,,,,,,,,,,
1990302535461769216,H-D-06_S_04_03_LJ,,,,,,,,,,,,,,,,,,
1988510349883740160,H-K-01_S_05_03,,,,,,,,,,,,,,,,,,
1986086323345297408,C-R-04_S_02_01,,,,,,,,,,,,,,,,,,
1990302566495424512,H-D-07_S_04_02_LJ,,,,,,,,,,,,,,,,,,
1990302182217486336,H-K-07_S_02_02_LJ,,,,,,,,,,,,,,,,,,
1988154037937246208,H-D-06_S_03_01,,,,,,,,,,,,,,,,,,
1990302751334207488,H-K-08_S_06_05_LJ,,,,,,,,,,,,,,,,,,
1982757538613039104,H-C-03_S_06_01,,,,,,,,,,,,,,,,,,
